Image,image_url,@Occasion,@Age Group,@Recommended Body shape,@Recommended size,@Skin tone,Clothing Type,Fit,Fabric,Color_family,Style,Description,Quality_Tag,Score,Prompt
testiing_image_collection/95.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718930/training_image/95.png,Formal,51+,"Apple Shape, Rectangle","S, M, L, XL","Light, Medium, Dusky",kurta_set,relaxed,linen,black,Minimal Luxury,"Breathable linen kurta set with straight pants suited for office wear and day events in Indian weather. Crafted in linen with a relaxed profile and a black palette suited for Formal moments across India. Fits Apple Shape, Rectangle bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 51+ years.",,0.177,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Breathable linen kurta set with straight pants suited for office wear and day events in Indian weather. Crafted in linen with a relaxed profile and a black palette suited for Formal moments across India. Fits Apple Shape, Rectangle bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 51+ years. Background: lush monsoon garden with stone path."
testiing_image_collection/96.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718928/training_image/96.png,Wedding,13-17,"Pear Shape, Hourglass, Rectangle","M, L, XL, XXL","Medium, Dusky, Deep",saree,flowing,silk,black,Traditional Luxury,"Classic silk saree with hand-detailed borders and fluid pleats tailored for Indian wedding rituals. Crafted in silk with a flowing profile and a black palette suited for Wedding moments across India. Fits Pear Shape, Hourglass, Rectangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 13-17 years.",,0.597,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Classic silk saree with hand-detailed borders and fluid pleats tailored for Indian wedding rituals. Crafted in silk with a flowing profile and a black palette suited for Wedding moments across India. Fits Pear Shape, Hourglass, Rectangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 13-17 years. Background: minimalist studio with warm lighting."
testiing_image_collection/97.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718927/training_image/98.png,Party,51+,"Hourglass, Rectangle","S, M, L","Light, Medium",lace_dress,slim,lace,black,Elegant,"Delicate lace dress with slip lining and side slit for evening receptions. Crafted in lace with a slim profile and a black palette suited for Party moments across India. Fits Hourglass, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 51+ years.",,0.494,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Delicate lace dress with slip lining and side slit for evening receptions. Crafted in lace with a slim profile and a black palette suited for Party moments across India. Fits Hourglass, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 51+ years. Background: luxury hotel lobby with marble floor."
testiing_image_collection/98.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718925/training_image/99.png,Casual luxury,36-50,"Rectangle, Apple Shape","S, M, L, XL","Light, Medium, Dusky",jumpsuit,structured,linen,pastel,Minimal Luxury,"Tailored linen jumpsuit with a cinched waist built for humid city days. Crafted in linen with a structured profile and a pastel palette suited for Casual luxury moments across India. Fits Rectangle, Apple Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 36-50 years.",,0.235,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Tailored linen jumpsuit with a cinched waist built for humid city days. Crafted in linen with a structured profile and a pastel palette suited for Casual luxury moments across India. Fits Rectangle, Apple Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 36-50 years. Background: old city street with pastel walls."
testiing_image_collection/99.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718924/training_image/100.png,Party,18-25,"Inverted Triangle, Rectangle","M, L, XL","Medium, Dusky",cape_saree,structured,silk,jewel,Couture,"Pre-stitched silk cape saree that adds drama without heavy draping. Crafted in silk with a structured profile and a jewel palette suited for Party moments across India. Fits Inverted Triangle, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 18-25 years.",,0.771,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Pre-stitched silk cape saree that adds drama without heavy draping. Crafted in silk with a structured profile and a jewel palette suited for Party moments across India. Fits Inverted Triangle, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 18-25 years. Background: resort poolside deck with cabanas."
testiing_image_collection/100.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718923/training_image/101.png,Casual luxury,36-50,"Rectangle, Pear Shape","S, M, L","Light, Medium",wrap_dress,flowing,chiffon,jewel,Minimal Luxury,"Chiffon wrap dress with adjustable tie, easy to style for brunches and day dates. Crafted in chiffon with a flowing profile and a jewel palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 36-50 years.",,0.158,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Chiffon wrap dress with adjustable tie, easy to style for brunches and day dates. Crafted in chiffon with a flowing profile and a jewel palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 36-50 years. Background: art gallery interior with soft spotlights."
testiing_image_collection/101.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718922/training_image/102.png,Formal,18-25,"Rectangle, Inverted Triangle","M, L, XL, XXL","Medium, Dusky, Deep",kurta_jacket_set,structured,velvet,metallic,Traditional Luxury,"Velvet kurta with a longline jacket for winter formals and cultural events. Crafted in velvet with a structured profile and a metallic palette suited for Formal moments across India. Fits Rectangle, Inverted Triangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 18-25 years.",,0.539,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Velvet kurta with a longline jacket for winter formals and cultural events. Crafted in velvet with a structured profile and a metallic palette suited for Formal moments across India. Fits Rectangle, Inverted Triangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 18-25 years. Background: heritage haveli courtyard at dusk."
testiing_image_collection/102.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718921/training_image/103.png,Formal,13-17,"Pear Shape, Hourglass","M, L, XL","Light, Medium",palazzo_set,flowing,silk,black,Elegant,"Silk palazzo set with a gently flared kurti and airy pants, ideal for Indian formal dinners. Crafted in silk with a flowing profile and a black palette suited for Formal moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes M, L, XL. Age guidance: 13-17 years.",,0.752,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Silk palazzo set with a gently flared kurti and airy pants, ideal for Indian formal dinners. Crafted in silk with a flowing profile and a black palette suited for Formal moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes M, L, XL. Age guidance: 13-17 years. Background: modern Mumbai rooftop lounge at night."
testiing_image_collection/103.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718920/training_image/104.png,Casual luxury,13-17,"Rectangle, Pear Shape","XS, S, M, L","Light, Medium, Dusky",co_ord_set,structured,linen,neutral,Minimal Luxury,"Linen co-ord set with a cropped top and tailored trousers for weekend outings. Crafted in linen with a structured profile and a neutral palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes XS, S, M, L. Age guidance: 13-17 years.",,0.5,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Linen co-ord set with a cropped top and tailored trousers for weekend outings. Crafted in linen with a structured profile and a neutral palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes XS, S, M, L. Age guidance: 13-17 years. Background: sunlit Jaipur palace corridor."
testiing_image_collection/104.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718918/training_image/105.png,Casual luxury,13-17,"Apple Shape, Rectangle","S, M, L, XL","Light, Medium",tunic_set,relaxed,linen,metallic,Elegant,"Linen tunic set with high-low hem and slim pants for easy daytime polish. Crafted in linen with a relaxed profile and a metallic palette suited for Casual luxury moments across India. Fits Apple Shape, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L, XL. Age guidance: 13-17 years.",,0.345,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Linen tunic set with high-low hem and slim pants for easy daytime polish. Crafted in linen with a relaxed profile and a metallic palette suited for Casual luxury moments across India. Fits Apple Shape, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L, XL. Age guidance: 13-17 years. Background: Goan beach promenade at sunset."
testiing_image_collection/105.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718917/training_image/106.png,Party,26-35,"Pear Shape, Hourglass","S, M, L","Light, Medium",peplum_set,structured,satin,pastel,Elegant,"Satin peplum set with fitted trousers, flattering the waist for festive dinners. Crafted in satin with a structured profile and a pastel palette suited for Party moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 26-35 years.",,0.674,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Satin peplum set with fitted trousers, flattering the waist for festive dinners. Crafted in satin with a structured profile and a pastel palette suited for Party moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 26-35 years. Background: lush monsoon garden with stone path."
testiing_image_collection/106.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718916/training_image/107.png,Wedding,18-25,"Hourglass, Inverted Triangle","M, L, XL","Medium, Dusky, Deep",gown,structured,velvet,metallic,Couture,"Velvet evening gown with corseted bodice and sweeping skirt suited for receptions. Crafted in velvet with a structured profile and a metallic palette suited for Wedding moments across India. Fits Hourglass, Inverted Triangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL. Age guidance: 18-25 years.",,0.823,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Velvet evening gown with corseted bodice and sweeping skirt suited for receptions. Crafted in velvet with a structured profile and a metallic palette suited for Wedding moments across India. Fits Hourglass, Inverted Triangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL. Age guidance: 18-25 years. Background: minimalist studio with warm lighting."
