Image,@Occasion,@Age Group,@Recommended Body shape,@Recommended size,@Skin tone,Clothing Type,Fit,Fabric,Color_family,Style,Description,Quality_Tag,Score,Prompt
imgA_020,Casual Luxury,51+,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Co-ord set,Flattering,Cotton blend,Pastel,Elegant,Good quality casual luxury outfit for Indian female in age group 51+.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Casual Luxury. Age: 51+. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Co-ord set. Fabric: Cotton blend. Background: suitable casual luxury setting."
imgA_021,Resort,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Maxi dress,Flattering,Chiffon,Pastel,Elegant,Good quality resort outfit for Indian female in age group 13-17.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Resort. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Maxi dress. Fabric: Cotton blend. Background: suitable resort setting."
imgA_022,Resort,18-25,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Maxi dress,Flattering,Chiffon,Pastel,Elegant,Good quality resort outfit for Indian female in age group 18-25.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Resort. Age: 18-25. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Maxi dress. Fabric: Chiffon. Background: suitable resort setting."
imgA_023,Resort,26-35,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Maxi dress,Flattering,Chiffon,Pastel,Elegant,Good quality resort outfit for Indian female in age group 26-35.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Resort. Age: 26-35. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Maxi dress. Fabric: Chiffon. Background: suitable resort setting."
imgA_024,Resort,36-50,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Maxi dress,Flattering,Chiffon,Pastel,Elegant,Good quality resort outfit for Indian female in age group 36-50.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Resort. Age: 36-50. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Maxi dress. Fabric: Chiffon. Background: suitable resort setting."
imgA_025,Resort,51+,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Maxi dress,Flattering,Chiffon,Pastel,Elegant,Good quality resort outfit for Indian female in age group 51+.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Resort. Age: 51+. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Maxi dress. Fabric: Chiffon. Background: suitable resort setting."
imgA_026,Formal,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Average,Cotton blend,Neutral,Basic,Okay quality formal outfit for Indian female in age group 13-17.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Chiffon. Background: suitable formal setting."
imgA_027,Formal,18-25,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Average,Cotton blend,Neutral,Basic,Okay quality formal outfit for Indian female in age group 18-25.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 18-25. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Cotton blend. Background: suitable formal setting."
imgA_028,Formal,26-35,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Average,Cotton blend,Neutral,Basic,Okay quality formal outfit for Indian female in age group 26-35.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 26-35. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Cotton blend. Background: suitable formal setting."
imgA_029,Formal,36-50,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Average,Cotton blend,Neutral,Basic,Okay quality formal outfit for Indian female in age group 36-50.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 36-50. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Cotton blend. Background: suitable formal setting."
imgA_030,Formal,51+,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Average,Cotton blend,Neutral,Basic,Okay quality formal outfit for Indian female in age group 51+.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 51+. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Cotton blend. Background: suitable formal setting."
imgA_031,Party,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Average,Cotton blend,Neutral,Basic,Okay quality party outfit for Indian female in age group 13-17.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_032,Party,18-25,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Average,Cotton blend,Neutral,Basic,Okay quality party outfit for Indian female in age group 18-25.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 18-25. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_033,Party,26-35,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Average,Cotton blend,Neutral,Basic,Okay quality party outfit for Indian female in age group 26-35.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 26-35. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_034,Party,36-50,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Average,Cotton blend,Neutral,Basic,Okay quality party outfit for Indian female in age group 36-50.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 36-50. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_035,Party,51+,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Average,Cotton blend,Neutral,Basic,Okay quality party outfit for Indian female in age group 51+.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 51+. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_036,Wedding,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Average,Silk,Neutral,Basic,Okay quality wedding outfit for Indian female in age group 13-17.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Cotton blend. Background: suitable wedding setting."
imgA_037,Wedding,18-25,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Average,Silk,Neutral,Basic,Okay quality wedding outfit for Indian female in age group 18-25.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 18-25. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Silk. Background: suitable wedding setting."
imgA_038,Wedding,26-35,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Average,Silk,Neutral,Basic,Okay quality wedding outfit for Indian female in age group 26-35.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 26-35. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Silk. Background: suitable wedding setting."
imgA_039,Wedding,36-50,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Average,Silk,Neutral,Basic,Okay quality wedding outfit for Indian female in age group 36-50.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 36-50. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Silk. Background: suitable wedding setting."
imgA_040,Wedding,51+,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Average,Silk,Neutral,Basic,Okay quality wedding outfit for Indian female in age group 51+.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 51+. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Silk. Background: suitable wedding setting."
imgA_041,Casual Luxury,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Co-ord set,Average,Cotton blend,Neutral,Basic,Okay quality casual luxury outfit for Indian female in age group 13-17.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Casual Luxury. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Co-ord set. Fabric: Silk. Background: suitable casual luxury setting."
imgA_042,Casual Luxury,18-25,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Co-ord set,Average,Cotton blend,Neutral,Basic,Okay quality casual luxury outfit for Indian female in age group 18-25.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Casual Luxury. Age: 18-25. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Co-ord set. Fabric: Cotton blend. Background: suitable casual luxury setting."
imgA_043,Casual Luxury,26-35,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Co-ord set,Average,Cotton blend,Neutral,Basic,Okay quality casual luxury outfit for Indian female in age group 26-35.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Casual Luxury. Age: 26-35. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Co-ord set. Fabric: Cotton blend. Background: suitable casual luxury setting."
imgA_044,Casual Luxury,36-50,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Co-ord set,Average,Cotton blend,Neutral,Basic,Okay quality casual luxury outfit for Indian female in age group 36-50.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Casual Luxury. Age: 36-50. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Co-ord set. Fabric: Cotton blend. Background: suitable casual luxury setting."
imgA_045,Casual Luxury,51+,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Co-ord set,Average,Cotton blend,Neutral,Basic,Okay quality casual luxury outfit for Indian female in age group 51+.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Casual Luxury. Age: 51+. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Co-ord set. Fabric: Cotton blend. Background: suitable casual luxury setting."
imgA_046,Resort,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Maxi dress,Average,Chiffon,Neutral,Basic,Okay quality resort outfit for Indian female in age group 13-17.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Resort. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Maxi dress. Fabric: Cotton blend. Background: suitable resort setting."
imgA_047,Resort,18-25,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Maxi dress,Average,Chiffon,Neutral,Basic,Okay quality resort outfit for Indian female in age group 18-25.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Resort. Age: 18-25. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Maxi dress. Fabric: Chiffon. Background: suitable resort setting."
imgA_048,Resort,26-35,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Maxi dress,Average,Chiffon,Neutral,Basic,Okay quality resort outfit for Indian female in age group 26-35.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Resort. Age: 26-35. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Maxi dress. Fabric: Chiffon. Background: suitable resort setting."
imgA_049,Resort,36-50,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Maxi dress,Average,Chiffon,Neutral,Basic,Okay quality resort outfit for Indian female in age group 36-50.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Resort. Age: 36-50. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Maxi dress. Fabric: Chiffon. Background: suitable resort setting."
imgA_050,Resort,51+,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Maxi dress,Average,Chiffon,Neutral,Basic,Okay quality resort outfit for Indian female in age group 51+.,okay,0.6,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Resort. Age: 51+. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Maxi dress. Fabric: Chiffon. Background: suitable resort setting."
imgA_051,Formal,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Poor,Cotton blend,Clashing,Unflattering,Bad quality formal outfit for Indian female in age group 13-17.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Chiffon. Background: suitable formal setting."
imgA_052,Formal,18-25,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Poor,Cotton blend,Clashing,Unflattering,Bad quality formal outfit for Indian female in age group 18-25.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 18-25. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Cotton blend. Background: suitable formal setting."
imgA_053,Formal,26-35,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Poor,Cotton blend,Clashing,Unflattering,Bad quality formal outfit for Indian female in age group 26-35.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 26-35. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Cotton blend. Background: suitable formal setting."
imgA_054,Formal,36-50,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Poor,Cotton blend,Clashing,Unflattering,Bad quality formal outfit for Indian female in age group 36-50.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 36-50. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Cotton blend. Background: suitable formal setting."
imgA_055,Formal,51+,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Poor,Cotton blend,Clashing,Unflattering,Bad quality formal outfit for Indian female in age group 51+.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 51+. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Cotton blend. Background: suitable formal setting."
imgA_056,Party,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Poor,Cotton blend,Clashing,Unflattering,Bad quality party outfit for Indian female in age group 13-17.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_057,Party,18-25,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Poor,Cotton blend,Clashing,Unflattering,Bad quality party outfit for Indian female in age group 18-25.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 18-25. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_058,Party,26-35,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Poor,Cotton blend,Clashing,Unflattering,Bad quality party outfit for Indian female in age group 26-35.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 26-35. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_059,Party,36-50,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Poor,Cotton blend,Clashing,Unflattering,Bad quality party outfit for Indian female in age group 36-50.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 36-50. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_060,Party,51+,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Poor,Cotton blend,Clashing,Unflattering,Bad quality party outfit for Indian female in age group 51+.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 51+. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_061,Wedding,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Poor,Silk,Clashing,Unflattering,Bad quality wedding outfit for Indian female in age group 13-17.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Cotton blend. Background: suitable wedding setting."
imgA_062,Wedding,18-25,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Poor,Silk,Clashing,Unflattering,Bad quality wedding outfit for Indian female in age group 18-25.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 18-25. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Silk. Background: suitable wedding setting."
imgA_063,Wedding,26-35,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Poor,Silk,Clashing,Unflattering,Bad quality wedding outfit for Indian female in age group 26-35.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 26-35. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Silk. Background: suitable wedding setting."
imgA_064,Wedding,36-50,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Poor,Silk,Clashing,Unflattering,Bad quality wedding outfit for Indian female in age group 36-50.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 36-50. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Silk. Background: suitable wedding setting."
imgA_065,Wedding,51+,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Poor,Silk,Clashing,Unflattering,Bad quality wedding outfit for Indian female in age group 51+.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 51+. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Silk. Background: suitable wedding setting."
imgA_066,Casual Luxury,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Co-ord set,Poor,Cotton blend,Clashing,Unflattering,Bad quality casual luxury outfit for Indian female in age group 13-17.,bad,0.2,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Casual Luxury. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Co-ord set. Fabric: Silk. Background: suitable casual luxury setting."
