age,size,body_shape,skin_tone,cloth_description,image_path,score,prompt
34,XL,pear,deep,navy satin sweater and chinos with classic buttons,training data/14.png,0.153,"Full-body, head-to-toe studio fashion photo of an Indian female, age 34, size XL, pear body shape, deep skin tone. Outfit color: navy. Fabric: satin. Wearing navy satin sweater and chinos with classic buttons. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
28,XL,athletic,light,teal wool hoodie and jeans with subtle embroidery,training data/15.png,0.929,"Full-body, head-to-toe studio fashion photo of an Indian female, age 28, size XL, athletic body shape, light skin tone. Outfit color: teal. Fabric: wool. Wearing teal wool hoodie and jeans with subtle embroidery. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
37,S,hourglass,light,teal linen blazer and trousers with a fitted waist,training data/16.png,0.978,"Full-body, head-to-toe studio fashion photo of an Indian female, age 37, size S, hourglass body shape, light skin tone. Outfit color: teal. Fabric: linen. Wearing teal linen blazer and trousers with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
52,S,pear,deep,burgundy silk kurta set with flowy layers,training data/17.png,0.964,"Full-body, head-to-toe studio fashion photo of an Indian female, age 52, size S, pear body shape, deep skin tone. Outfit color: burgundy. Fabric: silk. Wearing burgundy silk kurta set with flowy layers. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
52,S,apple,medium,green knit sweater and chinos with a fitted waist,training data/18.png,0.248,"Full-body, head-to-toe studio fashion photo of an Indian female, age 52, size S, apple body shape, medium skin tone. Outfit color: green. Fabric: knit. Wearing green knit sweater and chinos with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
22,M,hourglass,deep,mustard denim tank and shorts with soft drape,training data/19.png,0.071,"Full-body, head-to-toe studio fashion photo of an Indian female, age 22, size M, hourglass body shape, deep skin tone. Outfit color: mustard. Fabric: denim. Wearing mustard denim tank and shorts with soft drape. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
21,S,hourglass,light,green linen sweater and chinos with soft drape,training data/20.png,0.669,"Full-body, head-to-toe studio fashion photo of an Indian female, age 21, size S, hourglass body shape, light skin tone. Outfit color: green. Fabric: linen. Wearing green linen sweater and chinos with soft drape. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
31,XL,pear,deep,teal knit jumpsuit with a fitted waist,training data/21.png,0.19,"Full-body, head-to-toe studio fashion photo of an Indian female, age 31, size XL, pear body shape, deep skin tone. Outfit color: teal. Fabric: knit. Wearing teal knit jumpsuit with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
24,L,apple,medium,blue knit wrap dress with minimal prints,training data/22.png,0.403,"Full-body, head-to-toe studio fashion photo of an Indian female, age 24, size L, apple body shape, medium skin tone. Outfit color: blue. Fabric: knit. Wearing blue knit wrap dress with minimal prints. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
39,XS,pear,light,cream knit maxi skirt with contrast piping,training data/23.png,0.279,"Full-body, head-to-toe studio fashion photo of an Indian female, age 39, size XS, pear body shape, light skin tone. Outfit color: cream. Fabric: knit. Wearing cream knit maxi skirt with contrast piping. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
33,XS,rectangle,deep,navy cotton sweater and chinos with subtle embroidery,training data/24.png,0.926,"Full-body, head-to-toe studio fashion photo of an Indian female, age 33, size XS, rectangle body shape, deep skin tone. Outfit color: navy. Fabric: cotton. Wearing navy cotton sweater and chinos with subtle embroidery. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
33,S,rectangle,medium,burgundy denim crop top and skirt with subtle embroidery,training data/25.png,0.379,"Full-body, head-to-toe studio fashion photo of an Indian female, age 33, size S, rectangle body shape, medium skin tone. Outfit color: burgundy. Fabric: denim. Wearing burgundy denim crop top and skirt with subtle embroidery. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
42,M,rectangle,medium,blue knit maxi skirt with soft drape,training data/26.png,0.218,"Full-body, head-to-toe studio fashion photo of an Indian female, age 42, size M, rectangle body shape, medium skin tone. Outfit color: blue. Fabric: knit. Wearing blue knit maxi skirt with soft drape. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
21,XL,athletic,light,green cotton wrap dress with classic buttons,training data/27.png,0.503,"Full-body, head-to-toe studio fashion photo of an Indian female, age 21, size XL, athletic body shape, light skin tone. Outfit color: green. Fabric: cotton. Wearing green cotton wrap dress with classic buttons. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
51,S,hourglass,deep,navy silk blazer and trousers with classic buttons,training data/28.png,0.675,"Full-body, head-to-toe studio fashion photo of an Indian female, age 51, size S, hourglass body shape, deep skin tone. Outfit color: navy. Fabric: silk. Wearing navy silk blazer and trousers with classic buttons. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
33,L,hourglass,deep,cream cotton tank and shorts with minimal prints,training data/29.png,0.657,"Full-body, head-to-toe studio fashion photo of an Indian female, age 33, size L, hourglass body shape, deep skin tone. Outfit color: cream. Fabric: cotton. Wearing cream cotton tank and shorts with minimal prints. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
54,XL,apple,medium,cream wool jumpsuit with clean tailoring,training data/30.png,0.131,"Full-body, head-to-toe studio fashion photo of an Indian female, age 54, size XL, apple body shape, medium skin tone. Outfit color: cream. Fabric: wool. Wearing cream wool jumpsuit with clean tailoring. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
37,L,apple,light,black knit tank and shorts with classic buttons,training data/31.png,0.073,"Full-body, head-to-toe studio fashion photo of an Indian female, age 37, size L, apple body shape, light skin tone. Outfit color: black. Fabric: knit. Wearing black knit tank and shorts with classic buttons. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
31,XL,apple,light,green linen jumpsuit with a relaxed fit,training data/32.png,0.158,"Full-body, head-to-toe studio fashion photo of an Indian female, age 31, size XL, apple body shape, light skin tone. Outfit color: green. Fabric: linen. Wearing green linen jumpsuit with a relaxed fit. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
52,M,athletic,deep,mustard cotton sweater and chinos with clean tailoring,training data/33.png,0.939,"Full-body, head-to-toe studio fashion photo of an Indian female, age 52, size M, athletic body shape, deep skin tone. Outfit color: mustard. Fabric: cotton. Wearing mustard cotton sweater and chinos with clean tailoring. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
26,M,hourglass,light,mustard silk kurta set with clean tailoring,training data/34.png,0.718,"Full-body, head-to-toe studio fashion photo of an Indian female, age 26, size M, hourglass body shape, light skin tone. Outfit color: mustard. Fabric: silk. Wearing mustard silk kurta set with clean tailoring. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
31,M,athletic,medium,red cotton blazer and trousers with contrast piping,training data/35.png,0.044,"Full-body, head-to-toe studio fashion photo of an Indian female, age 31, size M, athletic body shape, medium skin tone. Outfit color: red. Fabric: cotton. Wearing red cotton blazer and trousers with contrast piping. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
39,S,apple,light,burgundy chiffon sweater and chinos with subtle embroidery,training data/36.png,0.075,"Full-body, head-to-toe studio fashion photo of an Indian female, age 39, size S, apple body shape, light skin tone. Outfit color: burgundy. Fabric: chiffon. Wearing burgundy chiffon sweater and chinos with subtle embroidery. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
27,XL,hourglass,medium,teal silk crop top and skirt with a structured silhouette,training data/37.png,0.308,"Full-body, head-to-toe studio fashion photo of an Indian female, age 27, size XL, hourglass body shape, medium skin tone. Outfit color: teal. Fabric: silk. Wearing teal silk crop top and skirt with a structured silhouette. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
20,M,pear,deep,cream linen shirt dress with flowy layers,training data/38.png,0.974,"Full-body, head-to-toe studio fashion photo of an Indian female, age 20, size M, pear body shape, deep skin tone. Outfit color: cream. Fabric: linen. Wearing cream linen shirt dress with flowy layers. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
27,S,pear,light,blue cotton maxi skirt with a relaxed fit,training data/39.png,0.802,"Full-body, head-to-toe studio fashion photo of an Indian female, age 27, size S, pear body shape, light skin tone. Outfit color: blue. Fabric: cotton. Wearing blue cotton maxi skirt with a relaxed fit. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
33,M,pear,deep,navy chiffon wrap dress with a fitted waist,training data/40.png,0.2,"Full-body, head-to-toe studio fashion photo of an Indian female, age 33, size M, pear body shape, deep skin tone. Outfit color: navy. Fabric: chiffon. Wearing navy chiffon wrap dress with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
47,M,apple,light,cream cotton jumpsuit with contrast piping,training data/41.png,0.279,"Full-body, head-to-toe studio fashion photo of an Indian female, age 47, size M, apple body shape, light skin tone. Outfit color: cream. Fabric: cotton. Wearing cream cotton jumpsuit with contrast piping. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
22,M,apple,deep,mustard chiffon sweater and chinos with a relaxed fit,training data/42.png,0.115,"Full-body, head-to-toe studio fashion photo of an Indian female, age 22, size M, apple body shape, deep skin tone. Outfit color: mustard. Fabric: chiffon. Wearing mustard chiffon sweater and chinos with a relaxed fit. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
34,S,athletic,medium,black linen tank and shorts with contrast piping,training data/43.png,0.729,"Full-body, head-to-toe studio fashion photo of an Indian female, age 34, size S, athletic body shape, medium skin tone. Outfit color: black. Fabric: linen. Wearing black linen tank and shorts with contrast piping. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
